query_id,category,query
1,password_policy,What is a recommended password length for enterprise systems?
2,password_policy,What types of characters should be included in strong passwords?
3,password_policy,How often should users change their passwords?
4,password_policy,What is the difference between passwords and passphrases?
5,password_policy,Why are reused passwords dangerous?
6,authentication,Explain the benefits of multi-factor authentication.
7,authentication,What are common forms of MFA?
8,authentication,How does single sign-on improve usability?
9,authentication,What is the difference between authentication and authorization?
10,credential_management,What is credential rotation?
11,credential_management,How should API keys be securely stored?
12,credential_management,What are best practices for managing administrator credentials?
13,credential_management,Why should secrets not be hardcoded in source code?
14,credential_management,What is a password manager?
15,security_training,How can employees recognize phishing emails?
16,security_training,What are common indicators of social engineering attacks?
17,security_training,Why is security awareness training important?
18,security_operations,What is least privilege access control?
19,security_operations,What is role-based access control (RBAC)?
20,security_operations,What is zero trust architecture?
21,security_operations,How should access logs be monitored?
22,security_operations,What is the principle of defense in depth?
23,incident_response,What should be done after a suspected credential leak?
24,incident_response,How should organizations respond to ransomware attacks?
25,incident_response,Why is incident response planning important?
26,encryption,What is the purpose of encryption?
27,encryption,What is the difference between hashing and encryption?
28,encryption,Why should passwords be hashed before storage?
29,encryption,What are common encryption algorithms used today?
30,governance,Why are access control policies important in enterprise systems?
